site,severity,species,binomial,binomial_short,family,age,sex,breed
MIXBUT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXBUT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXBUT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXBUT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXBUT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
MIXBUT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXBUT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXBUT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXBUT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
MIXDP2,mod,NEFU,Neotoma fuscipes,N. fuscipes,Cricetidae,A,M,T
MIXDP2,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXDP2,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMID,mod,TASE,Neotamias senex,N. senex,Sciuridae,S,M,N
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMIX,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMIX,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMIX,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMIX,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
MIXMOR,mod,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,S,M,N
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMOR,mod,TASE,Neotamias senex,N. senex,Sciuridae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMOR,mod,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,A,F,NA
MIXMOR,mod,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,S,F,N
MIXMOR,mod,TASE,Neotamias senex,N. senex,Sciuridae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMOR,mod,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,S,NA,NA
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,NA
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMOR,mod,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,F,P
MIXMOR,mod,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMOR,mod,TASE,Neotamias senex,N. senex,Sciuridae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,NA
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMOR,mod,TASE,Neotamias senex,N. senex,Sciuridae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRIV,mod,TAAM,Neotamias amoenus,N. amoenus,Sciuridae,S,F,N
MIXRIV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRIV,mod,TAAM,Neotamias amoenus,N. amoenus,Sciuridae,S,F,N
MIXRIV,mod,TAAM,Neotamias amoenus,N. amoenus,Sciuridae,S,M,N
MIXRIV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRIV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRIV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
MIXWAT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXWAT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXWAT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNCAR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNCAR,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNCAR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,N
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
GRNDAM,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNHOU,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
GRNHOU,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNKAN,unb,REME,Reithrodontomys megalotis,R. megalotis,Cricetidae,A,M,T
GRNKAN,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
GRNKAN,unb,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,F,N
GRNMAS,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNMAS,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,S,M,NA
GRNMAS,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
GRNMAS,unb,PETR,Peromyscus truei,P. truei,Cricetidae,A,F,P
GRNMAS,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
GRNQUA,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,F,N
GRNSNO,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNSNO,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,F,NA
GRNSNO,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,NA,NA,NA
GRNTUR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,N
GRNTUR,unb,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,A,F,P
GRNTUR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
GRNTUR,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,S,F,N
GRNTUR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,NA
GRNTUR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
GRNTUR,unb,TAQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,A,M,T
GRNWOO,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNWOO,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,NA,NA,NA
GRNWOO,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNWOO,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
GRNWOO,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNWOO,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNWOO,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,NA,NA,NA
GRNWOO,unb,NEFU,Neotoma fuscipes,N. fuscipes,Cricetidae,S,M,N
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIBADR,high,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,S,F,N
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HICAMP,high,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,NA,NA,NA
HICAMP,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HICAMP,high,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,A,F,P
HICAMP,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
HICAMP,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HICAMP,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
HICAMP,high,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,A,M,T
HICAMP,high,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,A,M,T
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HICOWS,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HICOWS,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HICOWS,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HICOWS,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HICOWS,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,NA,NA
HICOWS,high,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,M,N
HICOWS,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,N
HIDODD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
HIDODD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIDODD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,NA
HIDODD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIDODD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIDODD,high,TASE,Neotamias senex,N. senex,Sciuridae,A,M,T
HIDODD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
HISHRU,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HISHRU,high,TAQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,S,F,N
HISHRU,high,TAAM,Neotamias amoenus,N. amoenus,Sciuridae,S,M,N
HISQUE,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HISQUE,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
HITEDD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HITEDD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
HITEDD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HITEDD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HITEDD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HIWALK,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
HIWALK,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
HIWALK,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HIWALK,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXBUS,mod,TAQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,A,M,T
MIXBUS,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
MIXBUS,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
MIXBUS,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXBUT,mod,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,A,F,P
MIXDP2,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXDP2,mod,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,S,F,N
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
MIXMIX,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,NA,NA
MIXMIX,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
MIXMOR,mod,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,A,F,P
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
MIXMOR,mod,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,S,F,N
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,L
MIXMOR,mod,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,F,L
MIXMOR,mod,TASE,Neotamias senex,N. senex,Sciuridae,A,F,L
MIXRAV,mod,TAQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,A,F,P
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXRAV,mod,TAQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,A,F,P
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
MIXRIV,mod,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,A,F,L
GRNDAM,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNDAM,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNHOU,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,M,T
GRNHOU,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNHOU,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNHOU,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNHOU,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNHOU,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNHOU,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
GRNKAN,unb,REME,Reithrodontomys megalotis,R. megalotis,Cricetidae,A,M,T
GRNKAN,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNKAN,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
GRNKAN,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
GRNKAN,unb,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,M,T
GRNMAS,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,F,NA
GRNMAS,unb,GLSA,Glaucomys sabrinus,G. sabrinus,Sciuridae,A,F,N
GRNMAS,unb,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,A,M,T
GRNQUA,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,NA,NA,NA
GRNSNO,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
GRNTUR,unb,TAQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,A,F,L
GRNTUR,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,NA,F,NA
GRNWOO,unb,NEFU,Neotoma fuscipes,N. fuscipes,Cricetidae,A,M,T
GRNWOO,unb,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,M,T
GRNWOO,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
GRNWOO,unb,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,NA,NA,NA
GRNWOO,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
GRNWOO,unb,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIBADR,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HICAMP,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
HICAMP,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
HICAMP,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HICORN,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
HICOWS,high,PEBO,Peromyscus boylii,P. boylii,Cricetidae,S,F,N
HICOWS,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
HIDODD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HIDODD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HISHRU,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HISHRU,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HISHRU,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
HISHRU,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HISQUE,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HISQUE,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HISQUE,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HITEDD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
HITEDD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
HITEDD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
HITEDD,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIWALK,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
HIWALK,high,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXBUS,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXBUS,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
MIXBUS,mod,TAQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,S,F,N
MIXBUS,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
MIXBUS,mod,TAQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,A,F,P
MIXBUS,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
MIXBUT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,F,N
MIXBUT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,N
MIXDP2,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXDP2,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,M,N
MIXMID,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMIX,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,F,P
MIXMIX,mod,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,F,L
MIXMOR,mod,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,NA,NA
MIXMOR,mod,SPBE,Otospermophilus beecheyi,O. beecheyi,Sciuridae,A,F,L
MIXMOR,mod,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,S,F,N
MIXMOR,mod,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,M,T
MIXMOR,mod,TASE,Neotamias senex,N. senex,Sciuridae,A,M,T
MIXMOR,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRAV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXRIV,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXWAT,mod,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,M,T
MIXWAT,mod,TASE,Neotamias senex,N. senex,Sciuridae,A,F,N
